Site,Treatment,Repetition,Nummer,mSoil_Olsen(g),mSoil_H2O(g),Abs_labile(1),Abs_Olsen(1),Abs_Olsen1_10(1),t(min),Abs(1),Pv_labile(mg/L),Pv_Olsen(mg/L),Pv_Olsen1_10(mg/L),Pv(mg/L),Dilution(1),V_H2O(L)
Rümlang,0P,1.00,4.00,NA,10.40,0.92,3.34,NA,20.00,0.29,0.02,1.11,NA,0.02,20.00,0.20
Rümlang,0P,1.00,4.00,NA,10.40,0.92,3.34,NA,30.00,0.29,0.02,1.11,NA,0.02,20.00,0.20
Rümlang,0P,1.00,4.00,NA,10.40,0.92,3.34,NA,45.00,0.29,0.02,1.11,NA,0.02,20.00,0.20
Rümlang,0P,1.00,4.00,NA,10.40,0.92,3.34,NA,60.00,0.29,0.02,1.11,NA,0.02,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,NA,5.00,0.33,0.04,0.53,NA,0.04,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,NA,10.00,0.35,0.05,0.53,NA,0.05,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,NA,20.00,0.35,0.05,0.53,NA,0.05,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,NA,30.00,0.37,0.05,0.53,NA,0.05,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,NA,45.00,0.34,0.04,0.53,NA,0.04,20.00,0.20
Reckenholz,0P,1.00,1.00,10.90,10.00,0.47,1.85,NA,60.00,0.34,0.04,0.53,NA,0.04,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,NA,5.00,0.34,0.04,0.56,NA,0.04,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,NA,10.00,0.35,0.05,0.56,NA,0.05,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,NA,20.00,0.36,0.05,0.56,NA,0.05,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,NA,30.00,0.37,0.05,0.56,NA,0.05,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,NA,45.00,0.38,0.06,0.56,NA,0.06,20.00,0.20
Reckenholz,0P,2.00,2.00,10.50,10.10,0.54,1.92,NA,60.00,0.39,0.06,0.56,NA,0.06,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,NA,5.00,0.59,0.14,1.17,NA,0.14,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,NA,10.00,0.66,0.17,1.17,NA,0.17,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,NA,20.00,0.73,0.20,1.17,NA,0.20,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,NA,30.00,0.76,0.21,1.17,NA,0.21,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,NA,45.00,0.75,0.21,1.17,NA,0.21,20.00,0.20
Reckenholz,166P,1.00,3.00,10.10,10.60,1.03,3.51,NA,60.00,0.77,0.21,1.17,NA,0.21,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,NA,3.32,NA,5.00,0.67,0.17,1.10,NA,0.17,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,NA,3.32,NA,10.00,0.80,0.22,1.10,NA,0.22,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,NA,3.32,NA,20.00,0.88,0.26,1.10,NA,0.26,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,NA,3.32,NA,30.00,0.93,0.28,1.10,NA,0.28,20.00,0.20
