Site,Treatment,Repetition,Nummer,mSoil_Olsen(g),mSoil_H2O(g),Abs_labile(1),Abs_Olsen(1),Abs_Olsen1_10(1),t(min),Abs(1),Pv_labile(mg/L),Pv_Olsen(mg/L),Pv_Olsen1_10(mg/L),Pv(mg/L),Dilution(1),V_H2O(L)
Ellinghausen,100P,4,15,,10.26,0.626,,,2,0.345,0.1847183069,,,0.07239870409,20.00,0.20
Ellinghausen,100P,4,15,,10.26,0.626,,,4,0.363,0.1847183069,,,0.07959355409,20.00,0.20
Ellinghausen,100P,4,15,,10.26,0.626,,,12,0.408,0.1847183069,,,0.09758067909,20.00,0.20
Ellinghausen,100P,4,15,,10.26,0.626,,,23,0.424,0.1847183069,,,0.1039761013,20.00,0.20
Ellinghausen,100P,4,15,,10.26,0.626,,,30,0.444,0.1847183069,,,0.1119703791,20.00,0.20
Ellinghausen,100P,4,15,,10.26,0.626,,,43,0.44,0.1847183069,,,0.1103715235,20.00,0.20
Ellinghausen,100P,4,15,,10.26,0.626,,,60,0.442,0.1847183069,,,0.1111709513,20.00,0.20
Ellinghausen,100P,3,16,,10.33,0.713,,,2,0.308,0.2194934152,,,0.05760929019,20.00,0.20
Ellinghausen,100P,3,16,,10.33,0.713,,,4,0.357,0.2194934152,,,0.07719527075,20.00,0.20
Ellinghausen,100P,3,16,,10.33,0.713,,,12,0.401,0.2194934152,,,0.09478268187,20.00,0.20
Ellinghausen,100P,3,16,,10.33,0.713,,,23,0.402,0.2194934152,,,0.09518239576,20.00,0.20
Ellinghausen,100P,3,16,,10.33,0.713,,,30,0.435,0.2194934152,,,0.1083729541,20.00,0.20
Ellinghausen,100P,3,16,,10.33,0.713,,,43,0.449,0.2194934152,,,0.1139689485,20.00,0.20
Ellinghausen,100P,3,16,,10.33,0.713,,,60,0.474,0.2194934152,,,0.1239617958,20.00,0.20
Oensingen,166P,3,17,,10,0.948,,,2,0.4,0.3134261792,,,0.09438296798,20.00,0.20
Oensingen,166P,3,17,,10,0.948,,,4,0.486,0.3134261792,,,0.1287583624,20.00,0.20
Oensingen,166P,3,17,,10,0.948,,,12,0.566,0.3134261792,,,0.1607354736,20.00,0.20
Oensingen,166P,3,17,,10,0.948,,,23,0.605,0.3134261792,,,0.1763243152,20.00,0.20
Oensingen,166P,3,17,,10,0.948,,,30,0.632,0.3134261792,,,0.1871165902,20.00,0.20
Oensingen,166P,3,17,,10,0.948,,,43,0.657,0.3134261792,,,0.1971094375,20.00,0.20
Oensingen,166P,3,17,,10,0.948,,,60,0.672,0.3134261792,,,0.2031051458,20.00,0.20
Oensingen,166P,4,18,,10.24,0.845,,,2,0.296,0.2722556486,,,0.05281272352,20.00,0.20
Oensingen,166P,4,18,,10.24,0.845,,,4,0.338,0.2722556486,,,0.06960070686,20.00,0.20
Oensingen,166P,4,18,,10.24,0.845,,,12,0.44,0.2722556486,,,0.1103715235,20.00,0.20
Oensingen,166P,4,18,,10.24,0.845,,,23,0.531,0.2722556486,,,0.1467454874,20.00,0.20
Oensingen,166P,4,18,,10.24,0.845,,,30,0.556,0.2722556486,,,0.1567383347,20.00,0.20
Oensingen,166P,4,18,,10.24,0.845,,,43,0.584,0.2722556486,,,0.1679303236,20.00,0.20
Oensingen,166P,4,18,,10.24,0.845,,,60,0.617,0.2722556486,,,0.1811208819,20.00,0.20
Cadenazzo,100P,1,19,NA,10.09,0.432,NA,NA,2,0.29,0.1122893703,#VALUE!,#VALUE!,0.05531905908,20.00,0.20
Cadenazzo,100P,1,19,NA,10.09,0.432,NA,NA,4,0.306,0.1122893703,,,0.06173824908,20.00,0.20
Cadenazzo,100P,1,19,NA,10.09,0.432,NA,NA,12,0.346,0.1122893703,,,0.07778622408,20.00,0.20
Cadenazzo,100P,1,19,NA,10.09,0.432,NA,NA,23,0.374,0.1122893703,,,0.08901980658,20.00,0.20
Cadenazzo,100P,1,19,NA,10.09,0.432,NA,NA,30,0.377,0.1122893703,,,0.0902234047,20.00,0.20
Cadenazzo,100P,1,19,NA,10.09,0.432,NA,NA,43,0.387,0.1122893703,,,0.09423539845,20.00,0.20
Cadenazzo,100P,1,19,NA,10.09,0.432,NA,NA,60,0.394,0.1122893703,,,0.09704379408,20.00,0.20
Cadenazzo,100P,2,20,NA,10.2,0.498,NA,NA,2,0.293,0.1387685291,,,0.05652265721,20.00,0.20
Cadenazzo,100P,2,20,NA,10.2,0.498,NA,NA,4,0.321,0.1387685291,,,0.06775623971,20.00,0.20
Cadenazzo,100P,2,20,NA,10.2,0.498,NA,NA,12,0.374,0.1387685291,,,0.08901980658,20.00,0.20
Cadenazzo,100P,2,20,NA,10.2,0.498,NA,NA,23,0.414,0.1387685291,,,0.1050677816,20.00,0.20
Cadenazzo,100P,2,20,NA,10.2,0.498,NA,NA,30,0.429,0.1387685291,,,0.1110857722,20.00,0.20
Cadenazzo,100P,2,20,NA,10.2,0.498,NA,NA,43,0.458,0.1387685291,,,0.1227205541,20.00,0.20
Cadenazzo,100P,2,20,NA,10.2,0.498,NA,NA,60,0.478,0.1387685291,,,0.1307445416,20.00,0.20
Reckenholz,100P,1,21,NA,10.11,0.627,NA,NA,2,0.391,0.1905232484,,,0.09584019595,20.00,0.20
Reckenholz,100P,1,21,NA,10.11,0.627,NA,NA,4,0.407,0.1905232484,,,0.102259386,20.00,0.20
Reckenholz,100P,1,21,NA,10.11,0.627,NA,NA,12,0.425,0.1905232484,,,0.1094809747,20.00,0.20
Reckenholz,100P,1,21,NA,10.11,0.627,NA,NA,23,0.448,0.1905232484,,,0.1187085603,20.00,0.20
Reckenholz,100P,1,21,NA,10.11,0.627,NA,NA,30,0.458,0.1905232484,,,0.1227205541,20.00,0.20
Reckenholz,100P,1,21,NA,10.11,0.627,NA,NA,43,0.458,0.1905232484,,,0.1227205541,20.00,0.20
Reckenholz,100P,1,21,NA,10.11,0.627,NA,NA,60,0.456,0.1905232484,,,0.1219181553,20.00,0.20
Reckenholz,100P,2,22,NA,10.03,0.951,NA,NA,2,0.364,0.3205118459,,,0.08500781283,20.00,0.20
Reckenholz,100P,2,22,NA,10.03,0.951,NA,NA,4,0.415,0.3205118459,,,0.105468981,20.00,0.20
Reckenholz,100P,2,22,NA,10.03,0.951,NA,NA,12,0.528,0.3205118459,,,0.1508045103,20.00,0.20
Reckenholz,100P,2,22,NA,10.03,0.951,NA,NA,23,0.595,0.3205118459,,,0.1776848684,20.00,0.20
Reckenholz,100P,2,22,NA,10.03,0.951,NA,NA,30,0.584,0.3205118459,,,0.1732716753,20.00,0.20
Reckenholz,100P,2,22,NA,10.03,0.951,NA,NA,43,0.643,0.3205118459,,,0.1969424384,20.00,0.20
Reckenholz,100P,2,22,NA,10.03,0.951,NA,NA,60,0.669,0.3205118459,,,0.2073736222,20.00,0.20
Rümlang,100P,1,23,NA,10.01,0.606,NA,NA,2,0.391,0.1820980616,,,0.09584019595,20.00,0.20
Rümlang,100P,1,23,NA,10.01,0.606,NA,NA,4,0.369,0.1820980616,,,0.0870138097,20.00,0.20
Rümlang,100P,1,23,NA,10.01,0.606,NA,NA,12,0.453,0.1820980616,,,0.1207145572,20.00,0.20
Rümlang,100P,1,23,NA,10.01,0.606,NA,NA,23,0.425,0.1820980616,,,0.1094809747,20.00,0.20
Rümlang,100P,1,23,NA,10.01,0.606,NA,NA,30,0.463,0.1820980616,,,0.124726551,20.00,0.20
Rümlang,100P,1,23,NA,10.01,0.606,NA,NA,43,0.475,0.1820980616,,,0.1295409435,20.00,0.20
Rümlang,100P,1,23,NA,10.01,0.606,NA,NA,60,0.517,0.1820980616,,,0.1463913172,20.00,0.20
Rümlang,100P,2,24,NA,10.02,0.472,NA,NA,2,0.297,0.1283373453,,,0.05812745471,20.00,0.20
Rümlang,100P,2,24,NA,10.02,0.472,NA,NA,4,0.346,0.1283373453,,,0.07778622408,20.00,0.20
Rümlang,100P,2,24,NA,10.02,0.472,NA,NA,12,0.352,0.1283373453,,,0.08019342033,20.00,0.20
Rümlang,100P,2,24,NA,10.02,0.472,NA,NA,23,0.369,0.1283373453,,,0.0870138097,20.00,0.20
Rümlang,100P,2,24,NA,10.02,0.472,NA,NA,30,0.355,0.1283373453,,,0.08139701846,20.00,0.20
Rümlang,100P,2,24,NA,10.02,0.472,NA,NA,43,0.405,0.1283373453,,,0.1014569872,20.00,0.20
Rümlang,100P,2,24,NA,10.02,0.472,NA,NA,60,0.392,0.1283373453,,,0.09624139533,20.00,0.20
Reckenholz,0P,4,25,,10.15,0.442,,,2,0.255,0.1163013641,,,0.04127708096,20.00,0.20
Reckenholz,0P,4,25,,10.15,0.442,,,4,0.279,0.1163013641,,,0.05090586596,20.00,0.20
Reckenholz,0P,4,25,,10.15,0.442,,,12,0.307,0.1163013641,,,0.06213944846,20.00,0.20
Reckenholz,0P,4,25,,10.15,0.442,,,23,0.323,0.1163013641,,,0.06855863846,20.00,0.20
Reckenholz,0P,4,25,,10.15,0.442,,,30,0.336,0.1163013641,,,0.07377423033,20.00,0.20
Reckenholz,0P,4,25,,10.15,0.442,,,43,0.342,0.1163013641,,,0.07618142658,20.00,0.20
Reckenholz,0P,4,25,,10.15,0.442,,,60,0.358,0.1163013641,,,0.08260061658,20.00,0.20
Reckenholz,0P,3,26,,10.01,0.503,,,2,0.257,0.140774526,,,0.04207947971,20.00,0.20
Reckenholz,0P,3,26,,10.01,0.503,,,4,0.277,0.140774526,,,0.05010346721,20.00,0.20
Reckenholz,0P,3,26,,10.01,0.503,,,12,0.308,0.140774526,,,0.06254064783,20.00,0.20
Reckenholz,0P,3,26,,10.01,0.503,,,23,0.324,0.140774526,,,0.06895983783,20.00,0.20
Reckenholz,0P,3,26,,10.01,0.503,,,30,0.33,0.140774526,,,0.07136703408,20.00,0.20
Reckenholz,0P,3,26,,10.01,0.503,,,43,0.344,0.140774526,,,0.07698382533,20.00,0.20
Reckenholz,0P,3,26,,10.01,0.503,,,60,0.347,0.140774526,,,0.07818742346,20.00,0.20
Reckenholz,100P,4,27,,10.05,0.7,,,2,0.357,0.2198108028,,,0.08219941721,20.00,0.20
Reckenholz,100P,4,27,,10.05,0.7,,,4,0.397,0.2198108028,,,0.0982473922,20.00,0.20
Reckenholz,100P,4,27,,10.05,0.7,,,12,0.448,0.2198108028,,,0.1187085603,20.00,0.20
Reckenholz,100P,4,27,,10.05,0.7,,,23,0.472,0.2198108028,,,0.1283373453,20.00,0.20
Reckenholz,100P,4,27,,10.05,0.7,,,30,0.486,0.2198108028,,,0.1339541366,20.00,0.20
Reckenholz,100P,4,27,,10.05,0.7,,,43,0.506,0.2198108028,,,0.1419781241,20.00,0.20
Reckenholz,100P,4,27,,10.05,0.7,,,60,0.498,0.2198108028,,,0.1387685291,20.00,0.20
Cadenazzo,0P,3,28,,10,0.383,,,2,0.219,0.09263060095,,,0.02683390346,20.00,0.20
Cadenazzo,0P,3,28,,10,0.383,,,4,0.236,0.09263060095,,,0.03365429283,20.00,0.20
Cadenazzo,0P,3,28,,10,0.383,,,12,0.267,0.09263060095,,,0.04609147346,20.00,0.20
Cadenazzo,0P,3,28,,10,0.383,,,23,0.289,0.09263060095,,,0.05491785971,20.00,0.20
Cadenazzo,0P,3,28,,10,0.383,,,30,0.298,0.09263060095,,,0.05852865408,20.00,0.20
Cadenazzo,0P,3,28,,10,0.383,,,43,0.313,0.09263060095,,,0.06454664471,20.00,0.20
Cadenazzo,0P,3,28,,10,0.383,,,60,0.324,0.09263060095,,,0.06895983783,20.00,0.20
Ellinghausen,0P,4,29,,10.1,0.282,,,2,0.175,0.06018522828,-0.06449481082,-0.06449481082,0.01287755387,20.00,0.20
Ellinghausen,0P,4,29,,10.1,0.282,,,4,0.185,0.06018522828,,,0.01729883185,20.00,0.20
Ellinghausen,0P,4,29,,10.1,0.282,,,12,0.206,0.06018522828,,,0.02658351561,20.00,0.20
Ellinghausen,0P,4,29,,10.1,0.282,,,23,0.192,0.06018522828,,,0.02039372644,20.00,0.20
Ellinghausen,0P,4,29,,10.1,0.282,,,30,0.194,0.06018522828,,,0.02127798204,20.00,0.20
Ellinghausen,0P,4,29,,10.1,0.282,,,43,0.198,0.06018522828,,,0.02304649323,20.00,0.20
Ellinghausen,0P,4,29,,10.1,0.282,,,60,0.2,0.06018522828,,,0.02393074882,20.00,0.20
Oensingen,0P,3,30,,10.09,0.314,,,2,0.202,0.07433331782,,,0.02481500442,20.00,0.20
Oensingen,0P,3,30,,10.09,0.314,,,4,0.208,0.07433331782,,,0.02746777121,20.00,0.20
Oensingen,0P,3,30,,10.09,0.314,,,12,0.215,0.07433331782,,,0.0305626658,20.00,0.20
Oensingen,0P,3,30,,10.09,0.314,,,23,0.215,0.07433331782,,,0.0305626658,20.00,0.20
Oensingen,0P,3,30,,10.09,0.314,,,30,0.213,0.07433331782,,,0.0296784102,20.00,0.20
Oensingen,0P,3,30,,10.09,0.314,,,43,0.215,0.07433331782,,,0.0305626658,20.00,0.20
Oensingen,0P,3,30,,10.09,0.314,,,60,0.211,0.07433331782,,,0.02879415461,20.00,0.20
Oensingen,100P,4,31,,10.26,0.477,,,2,0.253,0.1464001489,,,0.04736352213,20.00,0.20
Oensingen,100P,4,31,,10.26,0.477,,,4,0.253,0.1464001489,,,0.04736352213,20.00,0.20
Oensingen,100P,4,31,,10.26,0.477,,,12,0.276,0.1464001489,,,0.05753246149,20.00,0.20
Oensingen,100P,4,31,,10.26,0.477,,,23,0.299,0.1464001489,,,0.06770140085,20.00,0.20
Oensingen,100P,4,31,,10.26,0.477,,,30,0.31,0.1464001489,,,0.07256480663,20.00,0.20
Oensingen,100P,4,31,,10.26,0.477,,,43,0.305,0.1464001489,,,0.07035416764,20.00,0.20
Oensingen,100P,4,31,,10.26,0.477,,,60,0.317,0.1464001489,,,0.07565970121,20.00,0.20
Reckenholz,100P,3,32,,10.17,0.714,,,2,0.319,0.2511844371,,,0.07654395681,20.00,0.20
Reckenholz,100P,3,32,,10.17,0.714,,,4,0.361,0.2511844371,,,0.09511332434,20.00,0.20
Reckenholz,100P,3,32,,10.17,0.714,,,12,0.422,0.2511844371,,,0.12208312,20.00,0.20
Reckenholz,100P,3,32,,10.17,0.714,,,23,0.439,0.2511844371,,,0.1295992926,20.00,0.20
Reckenholz,100P,3,32,,10.17,0.714,,,30,0.454,0.2511844371,,,0.1362312096,20.00,0.20
Reckenholz,100P,3,32,,10.17,0.714,,,43,0.474,0.2511844371,,,0.1450737655,20.00,0.20
Reckenholz,100P,3,32,,10.17,0.714,,,60,0.489,0.2511844371,,,0.1517056825,20.00,0.20
Cadenazzo,100P,4,33,,10.18,0.292,,,2,0.221,0.06460650626,,,0.03321543259,20.00,0.20
Cadenazzo,100P,4,33,,10.18,0.292,,,4,0.239,0.06460650626,,,0.04117373295,20.00,0.20
Cadenazzo,100P,4,33,,10.18,0.292,,,12,0.274,0.06460650626,,,0.05664820589,20.00,0.20
Cadenazzo,100P,4,33,,10.18,0.292,,,23,0.299,0.06460650626,,,0.06770140085,20.00,0.20
Cadenazzo,100P,4,33,,10.18,0.292,,,30,0.303,0.06460650626,,,0.06946991204,20.00,0.20
Cadenazzo,100P,4,33,,10.18,0.292,,,43,0.362,0.06460650626,,,0.09555545213,20.00,0.20
Cadenazzo,100P,4,33,,10.18,0.292,,,60,0.335,0.06460650626,,,0.08361800158,20.00,0.20
Rümlang,100P,4,34,,10.12,0.472,,,2,0.273,0.1441895099,,,0.05620607809,20.00,0.20
Rümlang,100P,4,34,,10.12,0.472,,,4,0.293,0.1441895099,,,0.06504863406,20.00,0.20
Rümlang,100P,4,34,,10.12,0.472,,,12,0.317,0.1441895099,,,0.07565970121,20.00,0.20
Rümlang,100P,4,34,,10.12,0.472,,,23,0.326,0.1441895099,,,0.0796388514,20.00,0.20
Rümlang,100P,4,34,,10.12,0.472,,,30,0.336,0.1441895099,,,0.08406012938,20.00,0.20
Rümlang,100P,4,34,,10.12,0.472,,,43,0.339,0.1441895099,,,0.08538651278,20.00,0.20
Rümlang,100P,4,34,,10.12,0.472,,,60,0.352,0.1441895099,,,0.09113417415,20.00,0.20
Oensingen,100P,3,35,,9.94,0.501,,,2,0.29,0.1570112161,,,0.06372225066,20.00,0.20
Oensingen,100P,3,35,,9.94,0.501,,,4,0.312,0.1570112161,,,0.07344906222,20.00,0.20
Oensingen,100P,3,35,,9.94,0.501,,,12,0.338,0.1570112161,,,0.08494438498,20.00,0.20
Oensingen,100P,3,35,,9.94,0.501,,,23,0.359,0.1570112161,,,0.09422906874,20.00,0.20
Oensingen,100P,3,35,,9.94,0.501,,,30,0.356,0.1570112161,,,0.09290268534,20.00,0.20
Oensingen,100P,3,35,,9.94,0.501,,,43,0.366,0.1570112161,,,0.09732396333,20.00,0.20
Oensingen,100P,3,35,,9.94,0.501,,,60,0.357,0.1570112161,,,0.09334481314,20.00,0.20
Cadenazzo,100P,3,36,,10.18,0.357,,,2,0.234,0.09334481314,,,0.03896309396,20.00,0.20
Cadenazzo,100P,3,36,,10.18,0.357,,,4,0.244,0.09334481314,,,0.04338437195,20.00,0.20
Cadenazzo,100P,3,36,,10.18,0.357,,,12,0.279,0.09334481314,,,0.05885884488,20.00,0.20
Cadenazzo,100P,3,36,,10.18,0.357,,,23,0.31,0.09334481314,,,0.07256480663,20.00,0.20
Cadenazzo,100P,3,36,,10.18,0.357,,,30,0.32,0.09334481314,,,0.07698608461,20.00,0.20
Cadenazzo,100P,3,36,,10.18,0.357,,,43,0.342,0.09334481314,,,0.08671289617,20.00,0.20
Cadenazzo,100P,3,36,,10.18,0.357,,,60,0.362,0.09334481314,,,0.09555545213,20.00,0.20
Ellinghausen,0P,3,37,,10.1,0.43,,,2,0.19,0.1256201424,,,0.01950947084,20.00,0.20
Ellinghausen,0P,3,37,,10.1,0.43,,,4,0.198,0.1256201424,,,0.02304649323,20.00,0.20
Ellinghausen,0P,3,37,,10.1,0.43,,,12,0.233,0.1256201424,,,0.03852096617,20.00,0.20
Ellinghausen,0P,3,37,,10.1,0.43,,,23,0.237,0.1256201424,,,0.04028947736,20.00,0.20
Ellinghausen,0P,3,37,,10.1,0.43,,,30,0.242,0.1256201424,,,0.04250011635,20.00,0.20
Ellinghausen,0P,3,37,,10.1,0.43,,,43,0.245,0.1256201424,,,0.04382649974,20.00,0.20
Ellinghausen,0P,3,37,,10.1,0.43,,,60,0.252,0.1256201424,,,0.04692139433,20.00,0.20
Rümlang,0P,3,38,,10.14,0.363,,,2,0.163,0.09599757993,,,0.007572020291,20.00,0.20
Rümlang,0P,3,38,,10.14,0.363,,,4,0.181,0.09599757993,,,0.01553032066,20.00,0.20
Rümlang,0P,3,38,,10.14,0.363,,,12,0.199,0.09599757993,,,0.02348862103,20.00,0.20
Rümlang,0P,3,38,,10.14,0.363,,,23,0.197,0.09599757993,,,0.02260436543,20.00,0.20
Rümlang,0P,3,38,,10.14,0.363,,,30,0.21,0.09599757993,,,0.02835202681,20.00,0.20
Rümlang,0P,3,38,,10.14,0.363,,,43,0.197,0.09599757993,,,0.02260436543,20.00,0.20
Rümlang,0P,3,38,,10.14,0.363,,,60,0.194,0.09599757993,,,0.02127798204,20.00,0.20
Cadenazzo,0P,4,39,,10,0.287,,,2,0.219,0.06239586727,,,0.03233117699,20.00,0.20
Cadenazzo,0P,4,39,,10,0.287,,,4,0.238,0.06239586727,,,0.04073160516,20.00,0.20
Cadenazzo,0P,4,39,,10,0.287,,,12,0.259,0.06239586727,,,0.05001628892,20.00,0.20
Cadenazzo,0P,4,39,,10,0.287,,,23,0.276,0.06239586727,,,0.05753246149,20.00,0.20
Cadenazzo,0P,4,39,,10,0.287,,,30,0.284,0.06239586727,,,0.06106948387,20.00,0.20
Cadenazzo,0P,4,39,,10,0.287,,,43,0.294,0.06239586727,,,0.06549076186,20.00,0.20
Cadenazzo,0P,4,39,,10,0.287,,,60,0.306,0.06239586727,,,0.07079629543,20.00,0.20
Rümlang,0P,4,40,,10.06,0.35,,,2,0.2,0.09024991856,,,0.02393074882,20.00,0.20
Rümlang,0P,4,40,,10.06,0.35,,,4,0.208,0.09024991856,,,0.02746777121,20.00,0.20
Rümlang,0P,4,40,,10.06,0.35,,,12,0.212,0.09024991856,,,0.0292362824,20.00,0.20
Rümlang,0P,4,40,,10.06,0.35,,,23,0.201,0.09024991856,,,0.02437287662,20.00,0.20
Rümlang,0P,4,40,,10.06,0.35,,,30,0.212,0.09024991856,,,0.0292362824,20.00,0.20
Rümlang,0P,4,40,,10.06,0.35,,,43,0.221,0.09024991856,,,0.03321543259,20.00,0.20
Rümlang,0P,4,40,,10.06,0.35,,,60,0.232,0.09024991856,,,0.03807883837,20.00,0.20
Oensingen,0P,4,41,,10.15,0.414,,,2,0.195,0.1185460976,,,0.02172010983,20.00,0.20
Oensingen,0P,4,41,,10.15,0.414,,,4,0.216,0.1185460976,,,0.0310047936,20.00,0.20
Oensingen,0P,4,41,,10.15,0.414,,,12,0.236,0.1185460976,,,0.03984734956,20.00,0.20
Oensingen,0P,4,41,,10.15,0.414,,,23,0.234,0.1185460976,,,0.03896309396,20.00,0.20
Oensingen,0P,4,41,,10.15,0.414,,,30,0.237,0.1185460976,,,0.04028947736,20.00,0.20
Oensingen,0P,4,41,,10.15,0.414,,,43,0.234,0.1185460976,,,0.03896309396,20.00,0.20
Oensingen,0P,4,41,,10.15,0.414,,,60,0.253,0.1185460976,,,0.04736352213,20.00,0.20
